Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1262,Daniel James,wls WAL,FWMF,Leeds United,eng Premier League,23,1997,26.3,24,14,8,8,8,10,23,43.5,13,18,1,17,8,32,12,0,Matches,c931d9f9
1263,Reece James,eng ENG,DF,Chelsea,eng Premier League,21,1999,20.7,33,25,14,18,1,9,22,40.9,13,20,2,18,17,50,22,0,Matches,1265a93a
1264,Vitaly Janelt,de GER,MF,Brentford,eng Premier League,23,1998,25.5,61,32,26,27,8,27,53,50.9,26,23,7,16,28,89,35,0,Matches,8449d35e
1265,Jakub Jankto,cz CZE,DFMF,Getafe,es La Liga,25,1996,6.5,11,7,5,5,1,10,17,58.8,7,4,0,4,4,15,7,0,Matches,1ea5f91c
1266,Pontus Jansson,se SWE,DF,Brentford,eng Premier League,30,1991,36.9,40,21,32,8,0,22,34,64.7,12,37,27,10,52,92,187,0,Matches,172e52d8
1267,Tony Jantschke,de GER,DF,M'Gladbach,de Bundesliga,31,1990,2.5,6,5,2,4,0,3,6,50.0,3,3,2,1,5,11,8,0,Matches,34b54da7
1268,Adnan Januzaj,be BEL,MFFW,Real Sociedad,es La Liga,26,1995,18.1,17,11,5,8,4,9,24,37.5,15,15,3,12,12,29,15,0,Matches,4737cebe
1269,Paweł Jaroszyński,pl POL,DF,Salernitana,it Serie A,26,1994,5.7,10,5,7,3,0,5,7,71.4,2,4,0,4,10,20,19,0,Matches,958a601f
1270,Jason,es ESP,MF,Alavés,es La Liga,27,1994,7.5,11,7,6,4,1,7,20,35.0,13,7,0,7,7,18,5,0,Matches,9038c2a1
1271,Jason,es ESP,MFDF,Valencia,es La Liga,27,1994,0.8,4,1,2,1,1,0,1,0.0,1,2,0,2,1,5,1,0,Matches,9038c2a1
1272,Dennis Jastrzembski,pl POL,DFMF,Hertha BSC,de Bundesliga,21,2000,2.5,2,1,1,1,0,2,8,25.0,6,1,0,1,5,7,3,0,Matches,6bba916f
1273,Luis Javier Suárez,co COL,FW,Granada,es La Liga,23,1997,31.6,26,14,9,9,8,8,27,29.6,19,25,3,22,6,32,23,0,Matches,eeba07f8
1274,Corentin Jean,fr FRA,FWMF,Lens,fr Ligue 1,26,1995,2.8,9,6,4,4,1,3,6,50.0,3,5,0,5,1,10,0,0,Matches,7d9b37bf
1275,Jemerson,br BRA,DF,Metz,fr Ligue 1,28,1992,13.4,37,25,30,7,0,18,26,69.2,8,23,8,15,25,62,33,1,Matches,7cab69b5
1276,Fredrik Jensen,fi FIN,MFFW,Augsburg,de Bundesliga,23,1997,4.6,5,4,1,3,1,4,7,57.1,3,5,1,4,2,7,4,0,Matches,3eeb80e0
1277,Mathias Jensen,dk DEN,MF,Brentford,eng Premier League,25,1996,17.8,33,18,12,16,5,22,63,34.9,41,32,3,29,22,55,13,0,Matches,0f134faf
1278,Moritz Jenz,de GER,DF,Lorient,fr Ligue 1,22,1999,15.3,26,12,18,6,2,11,24,45.8,13,19,11,8,28,54,55,0,Matches,ee644761
1279,Gabriel Jesus,br BRA,FW,Manchester City,eng Premier League,24,1997,20.9,18,12,2,4,12,6,26,23.1,20,18,0,18,15,33,8,0,Matches,b66315ae
1280,Juan Jesus,br BRA,DF,Napoli,it Serie A,30,1991,14.2,25,17,14,11,0,12,18,66.7,6,21,16,5,9,34,34,0,Matches,79083382
1281,Álvaro Jiménez,es ESP,MFFW,Cádiz,es La Liga,26,1995,2.6,6,3,3,2,1,4,7,57.1,3,3,0,3,3,9,0,0,Matches,5f5501ed
1282,Raúl Jiménez,mx MEX,FW,Wolves,eng Premier League,30,1991,29.2,29,14,6,16,7,6,30,20.0,24,31,5,26,13,42,26,0,Matches,b561db50
1283,João Pedro,br BRA,FWMF,Watford,eng Premier League,19,2001,18.3,20,14,7,8,5,6,23,26.1,17,23,3,20,15,35,17,0,Matches,e8832875
1284,Joaquín,es ESP,MF,Betis,es La Liga,40,1981,5.2,6,2,4,2,0,3,8,37.5,5,5,2,3,3,9,10,0,Matches,4c5b14d2
1285,Joelinton,br BRA,MFFW,Newcastle Utd,eng Premier League,24,1996,28.4,72,38,30,33,9,26,61,42.6,35,47,11,36,34,106,50,2,Matches,c17bfb65
1286,Jofre,es ESP,MFDF,Espanyol,es La Liga,20,2001,0.2,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,Matches,030ef8d6
1287,Marco John,de GER,DF,Hoffenheim,de Bundesliga,19,2002,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0,Matches,d9e196bf
1288,Dennis Johnsen,no NOR,FWMF,Venezia,it Serie A,23,1998,16.1,14,10,8,4,2,6,18,33.3,12,14,1,13,5,19,3,0,Matches,66784dee
1289,Ben Johnson,eng ENG,DF,West Ham,eng Premier League,21,2000,15.5,33,16,15,15,3,21,28,75.0,7,16,8,8,22,55,55,0,Matches,9319781b
1290,Curtis Jones,eng ENG,MF,Liverpool,eng Premier League,20,2001,9.5,11,9,3,6,2,1,10,10.0,9,4,0,4,6,17,4,0,Matches,4fb9c88f
1291,Phil Jones,eng ENG,DF,Manchester Utd,eng Premier League,29,1992,1.8,5,5,3,1,1,2,3,66.7,1,4,4,0,3,8,8,0,Matches,def899bd
1292,Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,24,1997,27.5,35,19,12,18,5,12,23,52.2,11,19,5,14,20,55,16,0,Matches,1bacc518
1293,Luuk de Jong,nl NED,FW,Barcelona,es La Liga,30,1990,7.3,9,7,1,5,3,1,2,50.0,1,4,0,4,0,9,12,0,Matches,abb3bb95
1294,Joan Jordán,es ESP,MF,Sevilla,es La Liga,27,1994,27.9,61,30,22,31,8,28,65,43.1,37,27,6,21,30,91,18,1,Matches,2a0c8ba4
1295,Kaio Jorge,br BRA,MFFW,Juventus,it Serie A,19,2002,1.3,2,1,0,2,0,1,3,33.3,2,1,0,1,0,2,2,0,Matches,0cf465f2
1296,Jorginho,it ITA,MF,Chelsea,eng Premier League,29,1991,25.3,64,33,27,31,6,29,83,34.9,54,27,4,23,36,100,21,1,Matches,45db685d
1297,Josan,es ESP,DFMF,Elche,es La Liga,31,1989,13.5,36,22,23,9,4,26,44,59.1,18,11,4,7,10,46,21,0,Matches,5b28b2f6
1298,Willian José,br BRA,FW,Betis,es La Liga,29,1991,17.8,15,13,2,10,3,2,8,25.0,6,10,2,8,3,18,16,0,Matches,d87e2cae
1299,Joselu,es ESP,FW,Alavés,es La Liga,31,1990,34.7,16,11,1,9,6,7,25,28.0,18,21,4,17,7,23,45,0,Matches,6265208f
1300,Josema,es ESP,DF,Elche,es La Liga,25,1996,2.0,3,2,1,1,1,0,2,0.0,2,1,1,0,0,3,11,0,Matches,ed3f5f4c
1301,Lenny Joseph,fr FRA,FWMF,Metz,fr Ligue 1,20,2000,1.7,2,1,1,1,0,0,0,,0,3,0,3,0,2,0,0,Matches,d1828392
1302,Diogo Jota,pt POR,FW,Liverpool,eng Premier League,24,1996,26.3,39,18,12,18,9,13,55,23.6,42,19,2,17,6,45,6,0,Matches,178ae8f8
1303,Stevan Jovetić,me MNE,FWMF,Hertha BSC,de Bundesliga,31,1989,11.3,5,2,0,2,3,1,6,16.7,5,3,0,3,1,6,6,0,Matches,f36c432f
1304,Luka Jović,rs SRB,FW,Real Madrid,es La Liga,23,1997,4.1,1,1,0,1,0,0,1,0.0,1,3,0,3,1,2,4,0,Matches,4d8cd038
1305,Miguel Juan Llambrich,es ESP,DF,Espanyol,es La Liga,25,1996,0.8,2,2,1,1,0,0,0,,0,1,0,1,0,2,5,0,Matches,d83f09ff
1306,José Juan Macías,mx MEX,FWMF,Getafe,es La Liga,21,1999,2.2,1,0,0,0,1,0,1,0.0,1,1,0,1,1,2,0,0,Matches,1f1c8a15
1307,Juanmi,es ESP,MF,Betis,es La Liga,28,1993,23.7,39,25,11,19,9,19,49,38.8,30,24,1,23,9,48,10,1,Matches,84399660
1308,Gideon Jung,de GER,DF,Greuther Fürth,de Bundesliga,26,1994,1.6,3,1,1,2,0,2,4,50.0,2,1,1,0,2,5,5,0,Matches,a2e7de6f
1309,Flavio Junior Bianchi,it ITA,FWMF,Genoa,it Serie A,21,2000,3.5,2,2,1,0,1,0,2,0.0,2,0,0,0,0,2,0,0,Matches,3ef965c1
1310,Lago Junior,ci CIV,MFFW,Mallorca,es La Liga,30,1990,2.0,3,2,3,0,0,3,5,60.0,2,0,0,0,2,5,2,0,Matches,360d70f8
1311,Hamed Junior Traorè,ci CIV,MF,Sassuolo,it Serie A,21,2000,19.7,32,18,8,14,10,10,46,21.7,36,22,2,20,12,44,6,1,Matches,570bb4b9
1312,Vinicius Júnior,br BRA,FWMF,Real Madrid,es La Liga,21,2000,29.9,46,24,23,19,4,15,50,30.0,35,25,0,25,6,52,6,0,Matches,7111d552
1313,James Justin,eng ENG,DF,Leicester City,eng Premier League,23,1998,11.1,22,13,11,8,3,7,15,46.7,8,16,4,12,17,39,34,0,Matches,fb614c44
1314,Jutglà,es ESP,FW,Barcelona,es La Liga,22,1999,3.3,2,1,0,1,1,0,1,0.0,1,2,0,2,1,3,1,0,Matches,2a9f6b4d
1315,Jens Jønsson,dk DEN,MF,Cádiz,es La Liga,28,1993,14.5,40,29,22,17,1,17,35,48.6,18,17,7,10,34,74,32,0,Matches,53520a67
1316,Mathias Jørgensen,dk DEN,DF,Brentford,eng Premier League,31,1990,5.8,10,4,3,5,2,7,10,70.0,3,6,1,5,10,20,13,0,Matches,0db5d2c8
1317,Ozan Kabak,tr TUR,DF,Norwich City,eng Premier League,21,2000,10.2,10,5,4,6,0,5,9,55.6,4,19,11,8,16,26,26,0,Matches,2d61d13a
1318,Christian Kabasele,be BEL,DF,Watford,eng Premier League,30,1991,13.3,11,5,10,1,0,7,10,70.0,3,20,16,4,14,25,67,1,Matches,914ab9a1
1319,Issa Kaboré,bf BFA,DF,Troyes,fr Ligue 1,20,2001,25.0,45,22,22,14,9,20,38,52.6,18,27,2,25,20,65,38,1,Matches,c066d1a5
1320,Anton Kade,de GER,MFFW,Hertha BSC,de Bundesliga,17,2004,0.9,4,2,3,1,0,2,8,25.0,6,3,0,3,3,7,1,0,Matches,6d7598d5
1321,Pavel Kadeřábek,cz CZE,DFMF,Hoffenheim,de Bundesliga,29,1992,13.3,11,10,6,3,2,5,16,31.3,11,18,6,12,13,24,22,0,Matches,79c90e45
1322,Tino Kadewere,zw ZIM,MFFW,Lyon,fr Ligue 1,25,1996,5.6,7,5,2,2,3,4,13,30.8,9,7,0,7,4,11,1,1,Matches,7d08063d
1323,Florian Kainz,at AUT,MF,Köln,de Bundesliga,28,1992,25.8,41,26,9,25,7,23,51,45.1,28,27,3,24,32,73,24,0,Matches,94c18565
1324,Gaël Kakuta,cd COD,MFFW,Lens,fr Ligue 1,30,1991,18.6,22,14,2,13,7,4,20,20.0,16,10,0,10,4,26,3,0,Matches,5b1bf5e3
1325,Sasa Kalajdzic,at AUT,FW,Stuttgart,de Bundesliga,24,1997,13.6,10,6,2,5,3,3,11,27.3,8,5,0,5,2,12,14,0,Matches,15f24fe7
1326,Arnaud Kalimuendo,fr FRA,FW,Paris S-G,fr Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,bf4c41f9
1327,Arnaud Kalimuendo,fr FRA,FW,Lens,fr Ligue 1,19,2002,23.9,9,8,1,3,5,2,7,28.6,5,6,1,5,8,17,0,0,Matches,bf4c41f9
1328,Nikola Kalinić,hr CRO,FW,Hellas Verona,it Serie A,33,1988,4.5,2,0,0,1,1,1,2,50.0,1,2,0,2,0,2,2,0,Matches,d4931a5a
1329,Yayah Kallon,sl SLE,MFFW,Genoa,it Serie A,20,2001,7.1,15,11,5,6,4,3,11,27.3,8,7,1,6,1,16,5,0,Matches,f95f49d2
1330,Felix Kalu Nmecha,de GER,MFFW,Wolfsburg,de Bundesliga,20,2000,3.6,3,1,1,1,1,0,2,0.0,2,2,0,2,7,10,6,0,Matches,091c86e2
1331,Samuel Kalu,ng NGA,FW,Watford,eng Premier League,23,1997,2.5,2,2,0,2,0,1,1,100.0,0,2,0,2,3,5,3,0,Matches,b8d22478
1332,Samuel Kalu,ng NGA,MFFW,Bordeaux,fr Ligue 1,23,1997,3.6,8,5,3,4,1,2,5,40.0,3,2,0,2,3,11,1,0,Matches,b8d22478
1333,Pierre Kalulu,fr FRA,DF,Milan,it Serie A,21,2000,21.6,61,36,36,21,4,17,22,77.3,5,36,15,21,26,87,54,0,Matches,85f7d1be
1334,Daichi Kamada,jp JPN,MF,Eint Frankfurt,de Bundesliga,24,1996,23.8,40,21,7,26,7,11,40,27.5,29,18,0,18,8,48,10,0,Matches,15b287da
1335,Boubacar Kamara,fr FRA,MFDF,Marseille,fr Ligue 1,21,1999,30.9,68,38,27,36,5,26,47,55.3,21,29,10,19,46,114,44,1,Matches,cc77354e
1336,Hassane Kamara,ci CIV,DF,Watford,eng Premier League,27,1994,18.0,53,34,31,16,6,27,43,62.8,16,20,4,16,69,122,67,0,Matches,19a12bed
1337,Hassane Kamara,ci CIV,MFDF,Nice,fr Ligue 1,27,1994,6.0,13,10,4,6,3,5,8,62.5,3,10,2,8,9,22,4,0,Matches,19a12bed
1338,Dimitrije Kamenović,rs SRB,DF,Lazio,it Serie A,21,2000,0.5,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,1,0,Matches,d3e0c826
1339,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,30,1990,21.1,41,19,16,20,5,10,42,23.8,32,24,5,19,24,65,17,0,Matches,b825a650
1340,Jean-Armel Kana-Biyik,cm CMR,DF,Metz,fr Ligue 1,32,1989,7.4,10,6,8,2,0,4,9,44.4,5,11,4,7,16,26,22,1,Matches,76a4233b
1341,Nordine Kandil,fr FRA,MFFW,Strasbourg,fr Ligue 1,19,2001,1.0,2,1,2,0,0,1,1,100.0,0,1,1,0,0,2,0,0,Matches,c5908bc4
1342,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,28,1993,35.9,15,5,2,10,3,7,18,38.9,11,26,8,18,3,18,39,0,Matches,21a66f6a
1343,Lee Kangin,kr KOR,MFFW,Mallorca,es La Liga,20,2001,15.7,13,6,2,9,2,5,29,17.2,24,11,1,10,5,18,7,0,Matches,8455ad90
1344,N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,30,1991,19.7,59,31,20,27,12,25,40,62.5,15,37,2,35,31,90,8,0,Matches,b9fbae28
1345,Stefanos Kapino,gr GRE,GK,Arminia,de Bundesliga,27,1994,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,62ba5881
1346,Atakan Karazor,de GER,MF,Stuttgart,de Bundesliga,24,1996,21.1,48,24,18,27,3,18,36,50.0,18,37,14,23,34,82,47,0,Matches,5762be5c
1347,Rick Karsdorp,nl NED,DFFW,Roma,it Serie A,26,1995,32.0,53,38,33,13,7,28,50,56.0,22,22,5,17,34,87,26,1,Matches,9f84febe
1348,Denso Kasius,nl NED,DFFW,Bologna,it Serie A,18,2002,2.0,8,6,4,3,1,2,5,40.0,3,4,0,4,3,11,4,0,Matches,7ae36711
1349,Grigoris Kastanos,cy CYP,MF,Salernitana,it Serie A,23,1998,15.0,30,19,9,19,2,7,23,30.4,16,21,5,16,22,52,8,0,Matches,2a82aa85
1350,Silas Katompa,cd COD,FWMF,Stuttgart,de Bundesliga,22,1998,3.1,5,4,4,0,1,3,7,42.9,4,5,0,5,2,7,1,0,Matches,de4cac2d
1351,Noah Katterbach,de GER,DF,Köln,de Bundesliga,20,2001,0.2,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches,e27de4fa
1352,Eiji Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,38,1983,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,a4527d33
1353,Edo Kayembe,cd COD,MF,Watford,eng Premier League,23,1998,8.9,21,13,11,9,1,8,16,50.0,8,6,1,5,9,30,13,0,Matches,f99b71de
1354,Moise Kean,it ITA,FW,Everton,eng Premier League,21,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,3d50bcdb
1355,Moise Kean,it ITA,FW,Juventus,it Serie A,21,2000,12.2,9,4,2,5,2,6,16,37.5,10,5,0,5,3,12,8,1,Matches,3d50bcdb
1356,Michael Keane,eng ENG,DF,Everton,eng Premier League,28,1993,31.0,46,25,32,13,1,28,45,62.2,17,33,28,5,62,108,128,2,Matches,c5b7c315
1357,Ilan Kebbal,dz ALG,MFFW,Reims,fr Ligue 1,23,1998,19.7,31,15,13,10,8,12,44,27.3,32,16,0,16,13,44,3,0,Matches,37d04e90
1358,Wajdi Kechrida,tn TUN,DFMF,Salernitana,it Serie A,25,1995,10.6,9,6,6,3,0,8,13,61.5,5,10,2,8,8,17,15,0,Matches,11962fe7
1359,Thilo Kehrer,de GER,DF,Paris S-G,fr Ligue 1,24,1996,16.8,21,14,9,11,1,9,21,42.9,12,19,11,8,24,45,29,0,Matches,51dbeea9
1360,Habib Keita,ml MLI,MF,Lyon,fr Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,cc588cbe
1361,Naby Keïta,gn GUI,MF,Liverpool,eng Premier League,26,1995,13.0,46,23,17,19,10,26,42,61.9,16,33,2,31,14,60,8,0,Matches,f25c8e3a
1362,Yannik Keitel,de GER,MF,Freiburg,de Bundesliga,21,2000,5.6,11,4,5,4,2,5,15,33.3,10,7,1,6,1,12,8,0,Matches,d2c580ce
1363,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,22,1998,2.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches,62d7ef38
1364,Marc-Oliver Kempf,de GER,DF,Hertha BSC,de Bundesliga,26,1995,11.7,10,9,9,1,0,5,14,35.7,9,14,7,7,25,35,49,1,Matches,815c314f
1365,Marc-Oliver Kempf,de GER,DF,Stuttgart,de Bundesliga,26,1995,9.3,13,8,7,4,2,3,10,30.0,7,16,14,2,16,29,26,2,Matches,815c314f
1366,Kenedy,br BRA,DF,Chelsea,eng Premier League,25,1996,0.6,5,2,1,2,2,2,3,66.7,1,0,0,0,0,5,0,0,Matches,5eebbfdf
1367,Jonjoe Kenny,eng ENG,DF,Everton,eng Premier League,24,1997,11.3,17,7,11,6,0,13,21,61.9,8,8,1,7,20,37,31,0,Matches,099e666f
1368,Dimitrios Keramitsis,gr GRE,MF,Roma,it Serie A,17,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,6f30a1d5
1369,Franck Kessié,ci CIV,MF,Milan,it Serie A,24,1996,25.6,41,23,12,24,5,17,26,65.4,9,39,10,29,23,64,22,0,Matches,05e19d6a
1370,Saîf-Eddine Khaoui,tn TUN,MF,Clermont Foot,fr Ligue 1,26,1995,10.3,19,10,5,10,4,9,18,50.0,9,9,0,9,14,33,5,0,Matches,796b1c41
1371,Wahbi Khazri,tn TUN,FWMF,Saint-Étienne,fr Ligue 1,30,1991,24.7,33,18,7,17,9,9,34,26.5,25,21,0,21,12,45,7,0,Matches,2677a1de
1372,Rani Khedira,de GER,MF,Union Berlin,de Bundesliga,27,1994,30.6,75,38,25,42,8,32,66,48.5,34,21,8,13,50,125,27,1,Matches,59e4b92e
1373,Kike,es ESP,FW,Osasuna,es La Liga,31,1989,20.7,11,7,3,4,4,3,23,13.0,20,10,1,9,3,14,12,0,Matches,e897d8ba
1374,Luca Kilian,de GER,FW,Mainz 05,de Bundesliga,21,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,610aa1e9
1375,Luca Kilian,de GER,DF,Köln,de Bundesliga,21,1999,25.3,42,24,30,9,3,21,41,51.2,20,31,13,18,46,88,109,3,Matches,610aa1e9
1376,Max Kilman,eng ENG,DF,Wolves,eng Premier League,24,1997,29.9,50,26,38,10,2,24,37,64.9,13,36,21,15,45,95,113,3,Matches,d0f72bf1
1377,Joshua Kimmich,de GER,MF,Bayern Munich,de Bundesliga,26,1995,27.5,39,20,14,17,8,18,58,31.0,40,34,8,26,52,91,29,1,Matches,49296448
1378,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,25,1995,28.6,34,19,18,15,1,14,23,60.9,9,20,14,6,38,72,73,1,Matches,aef6e670
1379,Joshua King,no NOR,FWMF,Watford,eng Premier League,29,1992,25.0,19,15,7,6,6,4,17,23.5,13,15,4,11,8,27,31,0,Matches,43458538
1380,Jakub Kiwior,pl POL,MF,Spezia,it Serie A,21,2000,21.8,50,27,25,19,6,26,57,45.6,31,38,15,23,40,90,53,0,Matches,dc3e663e
1381,Sofian Kiyine,ma MAR,MFFW,Venezia,it Serie A,23,1997,13.8,24,14,9,11,4,12,32,37.5,20,15,1,14,10,34,9,0,Matches,ce1806be
1382,Simon Kjær,dk DEN,DF,Milan,it Serie A,32,1989,8.9,20,12,9,8,3,6,12,50.0,6,17,13,4,9,29,39,0,Matches,8b8a56ce
1383,Kristoffer Klaesson,no NOR,GK,Leeds United,eng Premier League,20,2000,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,3f70db80
1384,Philipp Klement,de GER,MF,Stuttgart,de Bundesliga,28,1992,3.8,7,3,1,4,2,3,3,100.0,0,6,1,5,1,8,0,0,Matches,0cddeaa7
1385,Mateusz Klich,pl POL,MF,Leeds United,eng Premier League,31,1990,23.0,47,25,18,23,6,25,66,37.9,41,22,4,18,11,58,20,0,Matches,282679b4
1386,Thibault Klidje,tg TOG,MFFW,Bordeaux,fr Ligue 1,20,2001,1.0,0,0,0,0,0,0,1,0.0,1,1,1,0,2,2,0,0,Matches,db013c7d
1387,Mateo Klimowicz,de GER,MFFW,Stuttgart,de Bundesliga,21,2000,6.7,13,6,6,7,0,5,16,31.3,11,2,0,2,4,17,3,0,Matches,2b7c56b4
1388,Fabian Klos,de GER,FW,Arminia,de Bundesliga,33,1987,15.8,7,5,0,5,2,2,10,20.0,8,17,4,13,0,7,31,0,Matches,e21042ae
1389,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,25,1996,18.3,29,16,11,15,3,13,19,68.4,6,16,3,13,26,55,58,0,Matches,ca8033cb
1390,Justin Kluivert,nl NED,MF,Nice,fr Ligue 1,22,1999,20.8,19,9,6,12,1,5,21,23.8,16,13,1,12,14,33,6,0,Matches,4c3a6744
1391,Lukas Klünter,de GER,DF,Hertha BSC,de Bundesliga,25,1996,2.2,1,1,1,0,0,1,5,20.0,4,1,0,1,2,3,2,0,Matches,92948149
1392,Ansgar Knauff,de GER,MF,Dortmund,de Bundesliga,19,2002,1.3,3,1,1,1,1,0,4,0.0,4,2,0,2,0,3,4,0,Matches,19a967ab
1393,Ansgar Knauff,de GER,DFMF,Eint Frankfurt,de Bundesliga,19,2002,8.4,18,14,8,5,5,8,15,53.3,7,11,1,10,8,26,6,0,Matches,19a967ab
1394,Robin Knoche,de GER,DF,Union Berlin,de Bundesliga,29,1992,33.0,50,24,38,12,0,30,53,56.6,23,45,26,19,49,99,151,1,Matches,6bd5cd5d
1395,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,23,1997,28.5,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,20,0,Matches,cd59b9df
1396,Robin Koch,de GER,MFDF,Leeds United,eng Premier League,25,1996,17.5,21,13,9,10,2,9,34,26.5,25,26,10,16,20,41,44,0,Matches,ea6bc03a
1397,Samuel Koeberlé,fr FRA,FW,Reims,fr Ligue 1,16,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,6751b938
1398,Philippe Koffi,fr FRA,FW,Reims,fr Ligue 1,19,2002,4.2,4,0,0,3,1,0,2,0.0,2,2,1,1,3,7,3,0,Matches,9f1c2822
1399,Dominik Kohr,de GER,MF,Mainz 05,de Bundesliga,27,1994,17.9,40,20,18,19,3,16,42,38.1,26,21,2,19,35,75,22,0,Matches,0fbecd11
1400,Koba Koindredi,fr FRA,MF,Valencia,es La Liga,19,2001,2.0,4,3,2,1,1,2,6,33.3,4,3,0,3,4,8,5,0,Matches,3a58d075
1401,Koke,es ESP,MF,Atlético Madrid,es La Liga,29,1992,27.9,55,30,19,29,7,26,63,41.3,37,21,5,16,24,79,31,1,Matches,55126f3b
1402,Aleksandr Kokorin,ru RUS,FWMF,Fiorentina,it Serie A,30,1991,0.6,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches,fec5accc
1403,Aleksandar Kolarov,rs SRB,DF,Inter,it Serie A,35,1985,0.5,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,2,0,Matches,eda40760
1404,Sead Kolašinac,ba BIH,DF,Arsenal,eng Premier League,28,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,4,4,1,0,Matches,3935e52e
1405,Sead Kolašinac,ba BIH,DF,Marseille,fr Ligue 1,28,1993,4.9,7,6,2,3,2,5,8,62.5,3,4,0,4,0,7,7,1,Matches,3935e52e
1406,Luca Koleosho,ca CAN,FW,Espanyol,es La Liga,16,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,fc076f78
1407,Randal Kolo Muani,fr FRA,FWMF,Nantes,fr Ligue 1,22,1998,32.8,28,14,7,10,11,10,25,40.0,15,14,3,11,6,34,31,0,Matches,c0b3669f
1408,Timothée Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,29,1991,28.5,43,24,22,14,7,20,36,55.6,16,29,7,22,60,103,72,1,Matches,ab096c6f
1409,Ghislain Konan,ci CIV,DF,Reims,fr Ligue 1,25,1995,26.9,35,19,19,15,1,16,30,53.3,14,35,8,27,28,63,45,0,Matches,6b2c894b
1410,Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,22,1999,11.0,16,10,9,6,1,7,10,70.0,3,13,9,4,16,32,37,1,Matches,5ed9b537
1411,Geoffrey Kondogbia,cf CTA,MFDF,Atlético Madrid,es La Liga,28,1993,20.9,74,44,25,40,9,21,49,42.9,28,16,5,11,44,118,24,0,Matches,cce181df
1412,Ibrahima Koné,ml MLI,FW,Lorient,fr Ligue 1,22,1999,8.1,7,4,0,3,4,2,3,66.7,1,8,3,5,1,8,3,0,Matches,04bb2b06
1413,Kouadio Koné,fr FRA,MF,M'Gladbach,de Bundesliga,20,2001,24.3,68,35,31,34,3,29,46,63.0,17,28,5,23,34,102,14,0,Matches,86574238
1414,Youssouf Koné,ml MLI,DF,Troyes,fr Ligue 1,26,1995,10.9,30,18,21,8,1,19,30,63.3,11,8,3,5,10,40,25,0,Matches,e6eadfb8
1415,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,23,1997,27.5,25,15,13,11,1,10,13,76.9,3,31,22,9,15,40,86,2,Matches,0313a347
1416,Teun Koopmeiners,nl NED,MF,Atalanta,it Serie A,23,1998,23.6,40,24,10,19,11,22,54,40.7,32,31,2,29,15,55,19,0,Matches,a26fb8aa
1417,Laurent Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,35,1985,10.4,14,9,10,3,1,8,13,61.5,5,17,12,5,12,26,39,0,Matches,f5efb153
1418,Odilon Kossonou,ci CIV,DF,Leverkusen,de Bundesliga,20,2001,19.9,23,17,16,6,1,15,25,60.0,10,36,14,22,26,49,66,0,Matches,1f3afdcb
1419,Filip Kostić,rs SRB,DFMF,Eint Frankfurt,de Bundesliga,28,1992,28.0,44,17,26,9,9,20,53,37.7,33,24,1,23,15,59,24,0,Matches,b1cd37e6
